"Descrizione","RestQa","Note","Appunti"
"Aghi di pino","4 ml","Testa ","L'olio essenziale di aghi di pino è una nota di testa fresca e resinosa, con un profumo verde e terroso. Si sposa bene con note di cuore come eucalipto o rosmarino, creando un effetto aromatico e rivitalizzante. Inoltre, si integra bene con note di fondo come legno di cedro o muschio, aggiungendo una dimensione calda e avvolgente alla composizione."
"Akigalawood","0 ml","",""
"Albero del fico","10 ml","Cuore","L'olio essenziale di Fig Tree è solitamente utilizzato come nota di cuore in un profumo, grazie alla sua ricchezza e complessità.

Accoppiamenti consigliati:

Nota di testa: Citrus freschi (come limone o bergamotto) per un'apertura vivace.

Nota di fondo: Legni (come cedro o sandalo) per una base calda e terrosa.


Questa combinazione offre un profumo equilibrato, dove la freschezza dei frutti si sposa con le note legnose, creando un'esperienza olfattiva avvolgente e naturale.

"
"Alcool 96: cosmetica","0 ml","",""
"Amaretto","0 ml","",""
"Amber romance","30 ml","Fondo",""
"Ambra","10 ml","Fondo","L'ambra è generalmente utilizzata come nota di fondo in un profumo, grazie alla sua persistenza e al suo carattere avvolgente.

Accoppiamenti consigliati:

Nota di testa: Citrus freschi (come bergamotto o arancio) per un'apertura vivace.

Nota di cuore: Fiori dolci (come gelsomino o rosa) per aggiungere un tocco romantico e complesso.


Questa combinazione crea un profumo equilibrato, dove l'ambra conferisce calore e profondità, mentre le note fresche e floreali arricchiscono l'esperienza olfattiva.

"
"Ambra grigia ","0 ml","",""
"Ambrettolide","0 ml","",""
"Ambroxan","0 ml","",""
"Ananas","4 ml","Testa","L'olio essenziale di ananas è una nota di testa vivace e fruttata, con un profumo dolce e tropicale. Si combina bene con note di cuore come cocco o fiori d'arancio, creando un bouquet fresco e solare. Inoltre, si integra perfettamente con note di fondo come vaniglia o muschio, per un effetto caldo e avvolgente, che arricchisce la composizione di una sensazione esotica e accogliente."
"Arancio dolce","5 ml","Testa","L'olio essenziale di arancia dolce è una nota di testa con un profumo fresco luminoso e fruttato noto per le sue proprietà uplifting che migliorano l'umore e riducono lo stress. Ha caratteristiche antidepressive antinfiammatorie e antimicrobiche ed è ideale in aromaterapia cosmetici e prodotti per la pulizia. Si sposa bene con note floreali come gelsomino e rosa note speziate come cannella e chiodi di garofano e note legnose come cedro e sandalo. Utilizzato frequentemente in profumi freschi e fruttati apporta una sensazione di gioia e vitalità.
"
"Autumn spice","10 ml","Cuore","L'olio essenziale Autumn Spice è una miscela calda e avvolgente, che evoca l'atmosfera autunnale con note di cannella, chiodi di garofano e noce moscata. È perfetto per aggiungere una sensazione di comfort e nostalgia.

In un profumo, può essere utilizzato:

Nota di cuore: per il suo carattere ricco e speziato, che dona profondità e complessità.


Accoppiamenti consigliati:

Citrus (come arancio o mandarino) per una freschezza iniziale (nota di testa).

Vaniglia o legni (come sandalo o cedro) per una base calda e rassicurante (nota di fondo).


Questa combinazione crea un profumo bilanciato e accogliente, ideale per la stagione autunnale.

"
"Bamboo","8.5 ml","Cuore","L'olio essenziale di bamboo è una nota di cuore con un profumo fresco e verde che richiama la natura e la serenità. È noto per le sue proprietà rilassanti e purificanti ed è spesso utilizzato in aromaterapia per promuovere il benessere mentale e la calma. Si sposa bene con note floreali come il loto e il gelsomino e con note legnose come il sandalo e il cedro. Utilizzato in profumi e prodotti per la casa apporta una sensazione di equilibrio e armonia."
"Banana","4 ml","Testa","L'olio essenziale di banana è una nota di testa con un profumo dolce, fruttato e cremoso che evoca una sensazione di gioia e spensieratezza. È noto per le sue proprietà idratanti ed è spesso utilizzato in cosmetici per la cura della pelle. Si sposa bene con note floreali come il gelsomino e la rosa e con note dolci come la vaniglia e il caramello. Utilizzato in profumi e prodotti di bellezza, apporta una sensazione di vivacità e dolcezza.

"
"Basilico ","5 ml","Testa","L'olio essenziale di basilico è una nota di testa verde e aromatico, con un profumo fresco e leggermente speziato. Si abbina splendidamente con note di cuore come lavanda o menta, creando un effetto rinfrescante e armonioso. Inoltre, può essere fuso con note di fondo come legno di sandalo o vetiver, per un equilibrio che aggiunge calore e profondità alla composizione."
"Benzoino","10 ml","Fissativo","Resina per conferire rotondità e tenuta ai profumi. La pianta é lo Styrax, apprezzato per sfaccettatura ambrata, sfumatura vanigliata, cremosa, golosa. Caldo e sensuale"
"Benzyl Salcylate","0 ml","",""
"Bergamotto ","2 ml","Testa","L'olio essenziale di bergamotto è una nota di testa con un profumo fresco, agrumato e leggermente floreale che trasmette energia e positività. È noto per le sue proprietà antidepressive e ansiolitiche ed è spesso utilizzato in aromaterapia per alleviare lo stress e migliorare l'umore. Si sposa bene con note floreali come la lavanda e il gelsomino e con note speziate come il pepe nero. Utilizzato in profumi e prodotti per la cura personale, apporta una sensazione di freschezza e equilibrio.

"
"Betulla","0 ml","",""
"Black Spruce","6 ml","Fondo","L'abete nero (Black Spruce) è generalmente considerato una nota di fondo. Ha un aroma persistente, resinoso e terroso che si sviluppa lentamente e rimane percepibile per diverse ore.Aroma Profondo e Terroso:offre un profumo ricco, profondo e legnoso, tipico delle conifere, che aggiunge robustezza e una base solida alla composizione. In una composizione profumiera, l'abete nero può essere utilizzato per aggiungere profondità, resinosità e una nota terrosa e legnosa alla fragranza. Si combina bene con altre note di fondo come patchouli, sandalo, e muschio, ma può anche armonizzarsi con note di cuore speziate e floreali, creando un equilibrio complesso e raffinato.Quindi, per le tue composizioni, puoi utilizzare l'abete nero come nota di fondo per conferire robustezza, profondità e una sensazione terrosa e legnosa che darà struttura e persistenza alla fragranza."
"Brezza Oceano","7.5 ml","Testa","L'olio essenziale di ocean breeze è una nota di testa con un profumo fresco e salmastro che evoca la brezza marina e la serenità del mare. È noto per le sue proprietà rinfrescanti e purificanti ed è spesso utilizzato in aromaterapia per creare un'atmosfera di tranquillità e rilassamento. Si sposa bene con note floreali come il gelsomino e la fresia e con note legnose come il cedro. Utilizzato in profumi e prodotti per la casa, apporta una sensazione di freschezza e leggerezza.

"
"Cajeput ","10 ml","Testa","L'olio essenziale di cajeput è una nota di testa con un profumo fresco e balsamico che evoca una sensazione di pulizia e chiarezza. È noto per le sue proprietà antinfiammatorie analgesiche e antimicrobiche ed è spesso utilizzato in aromaterapia per alleviare sintomi respiratori e muscolari. Si sposa bene con note di eucalipto menta e tea tree e con note legnose come il cedro. Utilizzato in prodotti per la salute e benessere apporta una sensazione di freschezza e vitalità.

"
"Calone","0 ml","",""
"Camomilla","7.5 ml","Cuore","L'olio essenziale di camomilla è una nota di cuore con un profumo dolce e floreale che trasmette calma e relax. È noto per le sue proprietà antinfiammatorie e sedative ed è spesso utilizzato in aromaterapia per alleviare stress e ansia. Si sposa bene con note dolci come la vaniglia e il miele e con note legnose come il sandalo. Utilizzato in profumi e prodotti per la cura personale, apporta una sensazione di tranquillità e comfort.
"
"Canfora ","0 ml","",""
"Cannella ","13 ml","Cuore / Fondo","La cannella è solitamente considerata una nota di cuore. Tuttavia, a seconda della composizione e della concentrazione, può anche comportarsi come una nota di fondo. La cannella ha un profumo caldo, speziato e avvolgente che si sposa bene con altre note di cuore come fiori e spezie, aggiungendo profondità e complessità. In alcune composizioni, se la cannella è presente in alta concentrazione, il suo aroma può persistere più a lungo, comportandosi come una nota di fondo In certi profumi, può essere utilizzata come nota di testa per aggiungere un tocco iniziale speziato, ma questo è meno comune. Quindi, per la tua composizione, la cannella dovrebbe essere utilizzata come nota di cuore, ma tieni presente che il suo comportamento può variare leggermente a seconda della formula specifica e delle altre note presenti nella composizione."
"Caprifoglio","4.5 ml","Cuore","L'olio essenziale di caprifoglio è una nota di cuore con un profumo dolce floreale e avvolgente che trasmette una sensazione di romantica leggerezza. È noto per le sue proprietà rilassanti e calmanti ed è spesso utilizzato in aromaterapia per migliorare l'umore. Si sposa bene con note fresche come il limone e la menta e con note legnose come il sandalo e il cedro. Utilizzato in profumi e prodotti per la cura personale apporta una sensazione di dolcezza e serenità.
"
"Caramello","0 ml","",""
"Cardamomo","7 ml","Cuore","L'olio essenziale di cardamomo è una nota di cuore con un profumo speziato e leggermente dolce che trasmette calore e profondità. È noto per le sue proprietà digestive e antinfiammatorie ed è spesso utilizzato in aromaterapia per stimolare la concentrazione e migliorare l'umore. Si sposa bene con note fresche come il limone e la menta e con note legnose come il sandalo e il cedro. Utilizzato in profumi e prodotti per la cucina apporta una sensazione di comfort e vivacità.
"
"Cashmeran","0 ml","",""
"Cashmere wood","0 ml","",""
"Cedro","0 ml","",""
"Cetalox","0 ml","",""
"Chiodi di garofano (Clove) ","5 ml","Fondo","L'olio essenziale di chiodi di garofano è una nota di fondo intensa e speziata, con un profumo caldo e terroso. Si abbina bene con note di testa come arancia o limone, creando un contrasto fresco e stimolante. Inoltre, si sposa magnificamente con note di cuore come cannella o vaniglia, aggiungendo profondità e ricchezza alla composizione, perfetta per evocare un'atmosfera accogliente e avvolgente."
